province,country,latitude,longitude,category,utc_20200122,utc_20200123,utc_20200124,utc_20200125,utc_20200126,utc_20200127,utc_20200128,utc_20200129,utc_20200130,utc_20200131,utc_20200201,utc_20200202,utc_20200203,utc_20200204,utc_20200205,utc_20200206,utc_20200207,utc_20200208,utc_20200209,utc_20200210,utc_20200211,utc_20200212,utc_20200213,utc_20200214,utc_20200215,utc_20200216,utc_20200217,utc_20200218,utc_20200219,utc_20200220,utc_20200221,utc_20200222,utc_20200223,utc_20200224,utc_20200225,utc_20200226,utc_20200227,utc_20200228,utc_20200229,utc_20200301,utc_20200302,utc_20200303,utc_20200304,utc_20200305,utc_20200306,utc_20200307,utc_20200308,utc_20200309,utc_20200310,utc_20200311,utc_20200312,utc_20200313,utc_20200314,utc_20200315,utc_20200316,utc_20200317,utc_20200318,utc_20200319,utc_20200320,utc_20200321,utc_20200322,utc_20200323
France,France,46.2276,2.2137,confirmed,0,0,0,0,2,2,3,3,3,3,3,3,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,18,18,38,38,57,57,100,100,130,130,191,191,204,204,285,285,377,377,653,653,949,949,1126,1126,1209,1209,1784,1784,2281,2281,2281,2281,3661,3661,4469,4469,4499,4499,6633,6633,7652,7652,9043,9043,10871,10871,12612,12612,14282,14282,16018,16018
France,France,46.2276,2.2137,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2200,2200
France,France,46.2276,2.2137,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,6,6,9,9,11,11,19,19,19,19,33,33,48,48,48,48,79,79,91,91,91,91,148,148,148,148,148,148,243,243,450,450,562,562,674,674
,South Korea,36.0,128.0,confirmed,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,4,4,4,11,11,12,12,15,15,15,15,16,16,19,19,23,23,24,24,24,24,25,25,27,27,28,28,28,28,28,28,28,28,28,28,29,29,30,30,31,31,31,31,104,104,204,204,433,433,602,602,833,833,977,977,1261,1261,1766,1766,2337,2337,3150,3150,3736,3736,4335,4335,5186,5186,5621,5621,6088,6088,6593,6593,7041,7041,7314,7314,7478,7478,7513,7513,7755,7755,7869,7869,7979,7979,8086,8086,8162,8162,8236,8236,8320,8320,8413,8413,8565,8565,8652,8652,8799,8799,8897,8897,8961
,South Korea,36.0,128.0,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3,3,7,7,7,7,7,7,9,9,9,9,10,10,12,12,12,12,16,16,16,16,16,16,18,18,18,18,22,22,22,22,22,22,22,22,27,27,30,30,30,30,30,30,41,41,41,41,135,135,135,135,118,118,118,118,247,247,288,288,333,333,510,510,510,510,510,510,1137,1137,1407,1407,1540,1540,1540,1540,1540,1540,1540,1540,2909,2909,3166
,South Korea,36.0,128.0,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,6,6,8,8,10,10,12,12,13,13,13,13,16,16,17,17,28,28,28,28,35,35,35,35,42,42,44,44,50,50,53,53,54,54,60,60,66,66,66,66,72,72,75,75,75,75,81,81,84,84,91,91,94,94,102,102,104,104,111
,Switzerland,46.8182,8.2275,confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,8,8,8,8,18,18,27,27,42,42,56,56,90,90,114,114,214,214,268,268,337,337,374,374,491,491,652,652,652,652,1139,1139,1359,1359,2200,2200,2200,2200,2700,2700,3028,3028,4075,4075,5294,5294,6575,6575,7245,7245,8547
,Switzerland,46.8182,8.2275,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,15,15,15,15,15,15,15,15,131,131,131
,Switzerland,46.8182,8.2275,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,4,4,4,4,11,11,13,13,14,14,14,14,27,27,28,28,41,41,54,54,75,75,98,98,118
Emilia Romagna,Italy,44.5259,11.0393,confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8535
